model,num_correct,avg_eps,avg_l2,avg_linf,avg_lpips,avg_spearman
vgg11,326,0.0028469631901840496,0.9389429,0.002846976,0.0,0.006991997434850251
resnet18,471,0.002722993630573249,0.86075664,0.0027230058,0.0,-0.0024352356097003596
vgg11_bn,442,0.001497262443438914,0.5739593,0.0014972738,0.0,0.003198111860639693
resnet26,503,0.006362664015904573,1.8125321,0.0063626766,0.0,-0.00705869335998171
vgg13,373,0.0029179624664879356,0.825421,0.0029179743,0.0,0.01962971073071244
mobilenetv2_050,458,0.002891506550218341,1.0537828,0.0028915186,0.0,-0.003926866548792716
vgg13_bn,460,0.0019154347826086959,0.6237835,0.0019154471,0.0,-0.003817542935191774
resnet34,739,0.020873991880920165,5.002225,0.020874005,0.0,-0.0022295051684743674
vgg16,441,0.0018320861678004534,0.6884406,0.0018320985,0.0,0.015580688833519749
densenet121,767,0.021518709256844855,5.14115,0.021518722,0.0,-0.003178021428405346
vgg16_bn,534,0.0021885205992509364,0.6960686,0.0021885326,0.0,0.0007951378230789442
vit_base_patch8_224,882,0.05093908163265306,11.794882,0.050939098,0.0,0.016643049035770904
resnet50,846,0.03223617021276596,7.566516,0.032236185,0.0,0.000774767162283635
vgg19,435,0.003674390804597701,1.061939,0.0036744024,0.0,0.015335076724004764
mobilenetv2_100,573,0.005012111692844678,1.5116712,0.0050121243,0.0,-0.013931315814397363
efficientnet_b0,701,0.019116932952924395,4.592769,0.019116947,0.0,0.007773274809159122
vit_base_patch16_224,867,0.03858893886966551,8.741365,0.03858895,0.0,0.01484296509813384
vgg19_bn,577,0.002511195840554593,0.80639315,0.0025112075,0.0,0.01187641081567572
inception_resnet_v2,810,0.050341913580246915,11.151298,0.05034193,0.0,0.018701779075981074
vit_base_patch32_224,840,0.03996961904761905,9.590346,0.039969634,0.0,-0.001687739559266103
resnet101,900,0.15088177777777778,31.103354,0.15088178,0.0,8.977059398016567e-05
densenet161,794,0.006778274559193954,1.9385496,0.0067782872,0.0,-0.009932844540819847
inception_v3,748,0.03343827540106952,7.4987454,0.03343829,0.0,0.028077492850892637
vit_tiny_patch16_224,709,0.004574781382228491,1.5769542,0.004574794,0.0,0.04218919631212226
mobilenetv2_110d,644,0.007623664596273292,2.1708457,0.007623677,0.0,-0.004761530258020226
